Date,Close
1/1/2013 23:58:00,2.0457
1/2/2013 23:58:00,2.0456
1/3/2013 23:58:00,2.0433
1/4/2013 23:58:00,2.0321
1/5/2013 23:58:00,2.034
1/6/2013 23:58:00,2.0324
1/7/2013 23:58:00,2.0263
1/8/2013 23:58:00,2.0401
1/9/2013 23:58:00,2.0476
1/10/2013 23:58:00,2.0258
1/11/2013 23:58:00,2.0326
1/12/2013 23:58:00,2.0297
1/14/2013 23:58:00,2.0324
1/15/2013 23:58:00,2.0329
1/16/2013 23:58:00,2.0408
1/17/2013 23:58:00,2.0371
1/18/2013 23:58:00,2.0379
1/19/2013 23:58:00,2.0377
1/20/2013 23:58:00,2.0298
1/21/2013 23:58:00,2.0402
1/22/2013 23:58:00,2.0409
1/23/2013 23:58:00,2.0339
1/24/2013 23:58:00,2.0285
1/25/2013 23:58:00,2.0286
1/26/2013 23:58:00,2.025
1/27/2013 23:58:00,2.0285
1/28/2013 23:58:00,1.9942
1/29/2013 23:58:00,1.9865
1/30/2013 23:58:00,1.9883
1/31/2013 23:58:00,1.9905
2/1/2013 23:58:00,1.9717
2/3/2013 23:58:00,1.9864
2/4/2013 23:58:00,1.9932
2/5/2013 23:58:00,1.9829
2/6/2013 23:58:00,1.9859
2/7/2013 23:58:00,1.9639
2/8/2013 23:58:00,1.9711
2/9/2013 23:58:00,1.9701
2/10/2013 23:58:00,1.9701
2/11/2013 23:58:00,1.9707
2/12/2013 23:58:00,1.9673
2/13/2013 23:58:00,1.9641
2/14/2013 23:58:00,1.9562
2/15/2013 23:58:00,1.9666
2/16/2013 23:58:00,1.9651
2/17/2013 23:58:00,1.9652
2/18/2013 23:58:00,1.9596
2/19/2013 23:58:00,1.9539
2/20/2013 23:58:00,1.96
2/21/2013 23:58:00,1.9718
2/22/2013 23:58:00,1.9514
2/23/2013 23:58:00,1.969
2/24/2013 23:58:00,1.9691
2/25/2013 23:58:00,1.9804
2/26/2013 23:58:00,1.9807
2/27/2013 23:58:00,1.9734
2/28/2013 23:58:00,1.9763
3/1/2013 23:58:00,1.9603
3/2/2013 23:58:00,1.9755
3/3/2013 23:58:00,1.9811
3/4/2013 23:58:00,1.971
3/5/2013 23:58:00,1.9625
3/6/2013 23:58:00,1.9707
3/7/2013 23:58:00,1.9595
3/8/2013 23:58:00,1.942
3/9/2013 23:58:00,1.9418
3/10/2013 23:58:00,1.9419
3/11/2013 23:58:00,1.9572
3/12/2013 23:58:00,1.9656
3/13/2013 23:58:00,1.9715
3/14/2013 23:58:00,1.972
3/15/2013 23:58:00,1.9768
3/16/2013 23:58:00,1.9768
3/17/2013 23:58:00,1.9788
3/18/2013 23:58:00,1.9827
3/19/2013 23:58:00,1.9826
3/20/2013 23:58:00,1.9844
3/21/2013 23:58:00,2.0051
3/22/2013 23:58:00,2.0047
3/23/2013 23:58:00,2.0065
3/24/2013 23:58:00,2.0065
3/25/2013 23:58:00,2.006
3/26/2013 23:58:00,2.0147
3/27/2013 23:58:00,2.0102
3/28/2013 23:58:00,2.0192
3/29/2013 23:58:00,2.019
3/30/2013 23:58:00,2.019
3/31/2013 23:58:00,2.019
4/1/2013 23:58:00,2.0151
4/2/2013 23:58:00,2.0198
4/3/2013 23:58:00,2.0232
4/4/2013 23:58:00,2.0133
4/5/2013 23:58:00,1.9937
4/7/2013 23:58:00,1.9832
4/8/2013 23:58:00,1.989
4/9/2013 23:58:00,1.9775
4/10/2013 23:58:00,1.9697
4/11/2013 23:58:00,1.974
4/12/2013 23:58:00,1.9517
4/13/2013 23:58:00,1.9517
4/14/2013 23:58:00,1.9662
4/15/2013 23:58:00,2
4/16/2013 23:58:00,1.9846
4/17/2013 23:58:00,1.9976
4/18/2013 23:58:00,1.9817
4/19/2013 23:58:00,2.0054
4/20/2013 23:58:00,2.0054
4/21/2013 23:58:00,2.0052
4/22/2013 23:58:00,2.0159
4/23/2013 23:58:00,2.0185
4/24/2013 23:58:00,2.0077
4/25/2013 23:58:00,2
4/26/2013 23:58:00,1.9947
4/27/2013 23:58:00,1.9949
4/28/2013 23:58:00,1.9933
4/29/2013 23:58:00,2.0075
4/30/2013 23:58:00,1.9986
5/1/2013 23:58:00,2.0015
5/2/2013 23:58:00,2.007
5/3/2013 23:58:00,2.0054
5/4/2013 23:58:00,2.0053
5/5/2013 23:58:00,2.01
5/6/2013 23:58:00,2.006
5/7/2013 23:58:00,2.0059
5/8/2013 23:58:00,2
5/9/2013 23:58:00,2.011
5/10/2013 23:58:00,2.0178
5/11/2013 23:58:00,2.0138
5/13/2013 23:58:00,2.0064
5/14/2013 23:58:00,2.0187
5/15/2013 23:58:00,2.0188
5/16/2013 23:58:00,2.0227
5/17/2013 23:58:00,2.0317
5/18/2013 23:58:00,2.0111
5/19/2013 23:58:00,2.0312
5/20/2013 23:58:00,2.0357
5/21/2013 23:58:00,2.0378
5/22/2013 23:58:00,2.0457
5/23/2013 23:58:00,2.041
5/24/2013 23:58:00,2.0296
5/25/2013 23:58:00,2.0469
5/27/2013 23:58:00,2.0537
5/28/2013 23:58:00,2.0738
5/29/2013 23:58:00,2.1072
5/30/2013 23:58:00,2.1072
5/31/2013 23:58:00,2.1378
6/2/2013 23:58:00,2.0899
6/3/2013 23:58:00,2.1211
6/4/2013 23:58:00,2.1242
6/5/2013 23:58:00,2.127
6/6/2013 23:58:00,2.1273
6/7/2013 23:58:00,2.1165
6/8/2013 23:58:00,2.1157
6/9/2013 23:58:00,2.1291
6/10/2013 23:58:00,2.1439
6/11/2013 23:58:00,2.1296
6/12/2013 23:58:00,2.1527
6/13/2013 23:58:00,2.1168
6/14/2013 23:58:00,2.1492
6/15/2013 23:58:00,2.0964
6/16/2013 23:58:00,2.0964
6/17/2013 23:58:00,2.168
6/18/2013 23:58:00,2.1776
6/19/2013 23:58:00,2.2242
6/20/2013 23:58:00,2.2557
6/21/2013 23:58:00,2.2391
6/22/2013 23:58:00,2.2385
6/23/2013 23:58:00,2.2385
6/24/2013 23:58:00,2.2255
6/25/2013 23:58:00,2.2102
6/26/2013 23:58:00,2.1862
6/27/2013 23:58:00,2.1959
6/28/2013 23:58:00,2.226
6/29/2013 23:58:00,2.226
6/30/2013 23:58:00,2.1892
7/1/2013 23:58:00,2.2231
7/2/2013 23:58:00,2.2475
7/3/2013 23:58:00,2.2634
7/4/2013 23:58:00,2.246
7/5/2013 23:58:00,2.2493
7/6/2013 23:58:00,2.2493
7/7/2013 23:58:00,2.2475
7/8/2013 23:58:00,2.2615
7/9/2013 23:58:00,2.2541
7/10/2013 23:58:00,2.2691
7/11/2013 23:58:00,2.252
7/12/2013 23:58:00,2.2619
7/13/2013 23:58:00,2.2619
7/14/2013 23:58:00,2.2619
7/15/2013 23:58:00,2.2163
7/16/2013 23:58:00,2.2492
7/17/2013 23:58:00,2.2229
7/18/2013 23:58:00,2.2218
7/19/2013 23:58:00,2.2448
7/20/2013 23:58:00,2.244
7/22/2013 23:58:00,2.2299
7/23/2013 23:58:00,2.2135
7/24/2013 23:58:00,2.2434
7/25/2013 23:58:00,2.2405
7/26/2013 23:58:00,2.2542
7/27/2013 23:58:00,2.2231
7/28/2013 23:58:00,2.2544
7/29/2013 23:58:00,2.2657
7/30/2013 23:58:00,2.2742
7/31/2013 23:58:00,2.2736
8/1/2013 23:58:00,2.3011
8/2/2013 23:58:00,2.2717
8/3/2013 23:58:00,2.2847
8/4/2013 23:58:00,2.284
8/5/2013 23:58:00,2.2963
8/6/2013 23:58:00,2.2954
8/7/2013 23:58:00,2.3022
8/8/2013 23:58:00,2.2788
8/9/2013 23:58:00,2.2686
